FOLDER	AUTHOR	RECALL	F1	TOTALEDGES	REMOVEDEDGES	MARK
1164	1721106A	0.95	0.8906	18	1	a
1975	171EBECD	0.9202	0.2734	119	5	c
2096	18C0E43F	0.8873	0.5644	85	2	a
2218	15F6AECF	0.9643	0.5078	37	2	a
1753	156FFD32	0.9286	0.9017	25	1	a
2614	1974CA85	0.9773	0.9149	13	1	a
1088	0FF0CC0C	0.9808	0.0914	114	10	c
1951	190E83CA	0.8676	0.4856	26	2	a
2642	19E12A1B	0.9559	0.8784	21	1	a
2421	003E8C1C	0.8839	0.2791	69	5	c
2734	166B5E61	0.787	0.5466	32	2	a
2103	063239D3	0.9177	0.288	115	4	b
1013	05B6456C	0.8182	0.8675	12	1	a
1713	107A61EF	0.95	0.7835	15	1	a
1721	03F0040D	0.9107	0.8095	28	1	a
1568	182E01A7	0.9348	0.8731	29	1	a
1875	12A05A28	0.9512	0.5943	48	2	a
1847	16F5C49F	0.8333	0.8791	13	1	a
1901	1A1DEB0F	0.8816	0.3221	93	6	c
2433	19D03105	0.9353	0.3971	78	3	b
2097	1213C097	0.9658	0.2201	120	5	c
1139	180B42EE	0.8864	0.8667	13	1	a
2985	05A080D9	0.9625	0.4438	36	2	a
1874	0D957148	0.875	0.8974	11	1	a
1515	0F4113A4	0.9808	0.8644	17	1	a
2241	103AD08B	0.9	0.5373	20	2	a
1103	18444671	0.8421	0.5639	25	2	a
1481	150E2F0C	0.8697	0.5646	86	2	a
2060	0CBB3E78	0.9474	0.6154	41	1	a
1331	0FAD196A	0.8333	0.4286	32	3	b
1294	01F198C8	0.9044	0.2739	53	4	b
1306	166A5DB7	0.9236	0.4854	53	4	b
1169	195A7ED5	0.8631	0.3215	54	4	b
2809	1716135A	0.875	0.8537	12	1	a
2480	17413653	0.8846	0.4973	20	2	a
2155	1A20FDBE	0.8854	0.4218	42	2	a
1048	16E53199	0.8113	0.0804	206	18	c
2470	17224D68	0.913	0.5437	30	2	a
2852	16751B89	0.9444	0.9007	21	1	a
1615	0C4A2128	1.0	0.3002	49	2	a
1353	1972EB1A	0.8854	0.3393	38	3	b
1386	0D0F8B6B	0.8393	0.2321	54	6	c
2897	1544732C	0.925	0.6852	18	1	a
2293	143486DA	1.0	0.6809	39	1	a
2511	17ACDA36	0.9643	0.3686	34	2	a
1236	19230CA4	0.9333	0.21	77	5	c
2377	06189CAA	0.8438	0.3899	30	2	a
1274	0D94A75D	1.0	0.3596	38	3	b
1387	159EBB1A	0.9853	0.5019	27	2	a
1882	05780F86	0.9886	0.5455	34	2	a
2269	108C584F	0.9821	0.5528	21	2	a
1707	15734371	0.8548	0.3313	48	4	b
1730	1658E361	0.9773	0.8776	14	1	a
1037	199D2D5C	0.8906	0.4302	21	3	b
1523	18BFD73A	0.9091	0.7273	18	1	a
2581	18E072CF	0.9	0.9114	11	1	a
2347	0FDDAE8A	0.95	0.7835	15	1	a
1737	03E82023	0.9712	0.5445	35	2	a
2069	1749D1AC	0.931	0.5918	41	2	a
1399	17F1FBBA	1.0	0.7018	20	1	a
1116	16855CBA	0.8646	0.6125	26	2	a
1242	06D30B51	0.375	0.3506	24	2	a
1044	18C0F85F	0.95	0.9383	11	1	a
2846	0D69384A	0.9821	0.9322	16	1	a
1246	007CC886	0.9219	0.3255	82	4	b
2898	0BF9E3E3	0.8824	0.8889	19	1	a
1779	1A27ED74	0.9375	0.5806	15	2	a
1864	0E36458A	0.9091	0.7477	17	1	a
2598	146D3FA1	0.9674	0.2937	35	4	b
2990	1617234E	0.85	0.8395	13	1	a
1443	19837EB9	0.9722	0.4988	42	2	a
1878	0EF559F0	1.0	0.3875	33	2	a
1826	171AAB24	0.9826	0.3207	58	4	b
1641	152A2E58	0.8939	0.9042	37	1	a
2468	045F657C	0.9535	0.9345	47	1	a
2934	166A455E	0.9302	0.3048	61	4	b
2778	15B59160	0.9	0.4668	66	3	b
2962	15965B83	0.8833	0.5171	22	2	a
2194	07EB8E39	0.9545	0.1871	54	4	b
1221	0B35B0B3	0.9292	0.0652	200	16	c
1984	0D3B0D4C	0.8906	0.8636	20	1	a
2808	0D9A5C8C	0.96	0.5766	31	2	a
1762	1136D4EC	1.0	0.7477	18	1	a
1550	195FB83E	0.9929	0.289	54	4	b
1430	0DBCA79F	0.9259	0.1622	155	8	c
2119	10A7128E	0.975	0.8667	13	1	a
2873	1496CBE7	0.79	0.8587	79	1	a
3376	16BA05A2	0.9861	0.4343	34	2	a
3279	156EF3B0	0.975	0.7647	20	1	a
3631	18004E36	0.8984	0.3506	49	3	b
3441	16C4BDFA	0.815	0.2103	80	5	c
3879	158B5CC3	0.9853	0.5903	21	2	a
3753	1854BBEC	0.9242	0.3163	130	4	b
3531	0FBFE54A	0.9628	0.5224	69	2	a
3344	119432BF	0.7647	0.8455	18	1	a
3120	0C8DB03D	0.9031	0.6262	84	2	a
3933	117F55DE	0.9071	0.3719	45	5	c
3904	02F69A28	0.9848	0.3234	58	3	b
3334	162D9CCD	0.95	0.4306	36	2	a
3634	18AB5E58	0.8824	0.8219	23	2	a
3159	184FDBE8	0.9306	0.8933	21	1	a
3782	18BABC5B	0.9868	0.2683	42	3	b
3684	17478E8B	0.9907	0.4053	38	3	b
3637	1062BC87	0.9423	0.0817	103	6	c
3154	1846C4DD	0.8889	0.5912	41	2	a
3962	05DE873C	0.8843	0.585	62	2	a
3502	156BAE90	0.7727	0.8	13	1	a
3998	14EF2C00	0.9706	0.8049	25	2	a
3854	107D1A9A	0.9219	0.2688	34	3	b
3240	14EFF9F5	0.95	0.2436	38	5	c
3862	154A9C1F	0.913	0.3898	32	3	b
3920	0F8911F7	0.9259	0.1715	71	4	b
3739	18080E33	0.8333	0.303	38	3	b
3881	158F8A89	0.9583	0.9324	20	1	a
3426	130A09AD	1.0	0.8392	21	1	a
3569	0884256B	0.8438	0.7883	21	1	a
3719	17E08C8D	0.9	0.5625	50	2	a
3310	15E91432	0.875	0.8235	18	1	a
3542	186C2A73	0.9537	0.1261	81	5	c
3211	0DDE7D2B	0.9655	0.2175	61	4	b
3711	0C7D2075	0.8851	0.2402	106	6	c
3925	0AA62DE1	0.8828	0.5971	72	2	a
3661	16D6C68B	0.8889	0.4252	96	2	a
3248	19C758FE	0.975	0.7723	18	1	a
3293	15A25736	0.8462	0.5605	16	2	a
3280	15797502	1.0	0.4981	26	2	a
3427	06C08936	0.875	0.6052	33	2	a
3445	1616393B	0.9024	0.4533	66	2	a
3935	1638F0F6	0.9156	0.3356	102	4	b
3667	0428466F	0.9265	0.9403	18	1	a
3444	101468A4	0.9697	0.2804	103	4	b
3440	16A05FAC	0.9423	0.478	21	2	a
3266	10861ADA	0.9306	0.7701	27	1	a
3639	10042D3E	0.8952	0.3828	88	5	c
3868	0ED417C8	0.9659	0.3269	39	3	b
3500	16EEF309	0.8952	0.4245	38	3	b
3202	016F9637	0.7926	0.4265	152	3	b
3613	19523C7A	0.9659	0.2681	37	4	b
3193	18D73E0F	0.9261	0.3543	72	3	b
3316	07FD64A4	0.9524	0.4233	27	3	b
3993	1856CF68	0.9423	0.5355	18	2	a
3113	12D8D041	0.9929	0.3762	77	2	a
3287	159AFE65	0.9231	0.5304	18	2	a
3388	071C73C5	0.8906	0.6096	19	2	a
3585	0C73BC58	0.8889	0.8951	20	1	a
3420	17A2A360	0.9595	0.7454	62	1	a
3573	13500486	0.9158	0.2933	132	4	b
3158	184E0F51	0.9125	0.4787	31	2	a
3371	16AD4909	0.8357	0.2753	45	5	c
3171	189760C2	0.6818	0.3738	34	3	b
3295	15A883AA	0.8095	0.5551	25	2	a
3428	1344CC5F	0.975	0.7959	15	1	a
3423	124354EA	0.9356	0.3987	89	3	b
3846	102F4D85	0.875	0.586	21	2	a
3895	15A7136B	0.8906	0.5067	24	2	a
3172	00BC0EA9	0.9375	0.8	35	1	a
3948	11BB2FFB	0.9583	0.9109	25	1	a
3611	163393C3	0.9615	0.6079	30	2	a
3124	17DC546D	0.9296	0.5926	82	2	a
3997	0CB23199	1.0	0.6957	19	1	a
3982	017695AF	0.7237	0.44	29	3	b
3828	0E1AAF0F	0.8882	0.5637	46	2	a
3724	17F692DA	0.9167	0.3257	84	4	b
3819	1974B302	0.9219	0.6178	18	2	a
3233	0E2540AC	0.9674	0.6034	28	2	a
3695	097F5FF1	0.9732	0.5876	34	2	a
3609	19AE591D	0.9091	0.9195	12	1	a
3808	14682683	0.9167	0.5882	18	2	a
3139	134361BD	0.9674	0.1836	92	5	c
3429	1712E7C5	0.9219	0.3352	27	3	b
3456	12B5D94B	0.8911	0.1096	96	12	c
3401	03718FAA	0.8516	0.1413	134	9	c
3804	019E1635	0.9688	0.8322	23	1	a
3144	1814E610	0.92	0.2746	40	4	b
3356	167AB2A8	0.9583	0.7863	18	1	a
3842	10143724	0.975	0.661	20	1	a
3260	10657902	0.9265	0.6207	19	2	a
3313	0F640F6B	0.9688	0.3523	26	3	b
3961	171FD5F7	0.8824	0.543	27	3	b
3191	18CC5848	0.8421	0.8258	23	1	a
3939	163E0D34	0.9375	0.5477	48	2	a
3302	15C3A5CA	0.9333	0.5463	20	2	a
3663	16FB9224	0.8989	0.3944	62	3	b
3683	09319619	0.9167	0.3996	79	3	b
4231	1522D207	0.9167	0.3885	65	3	b
4856	18137115	0.9737	0.3491	34	3	b
4119	051D7154	0.9194	0.8382	40	1	a
4343	12814B4F	0.8915	0.2859	64	5	c
4239	12C0CA9F	0.0526	0.042	62	2	a
4426	1557FA1F	0.825	0.8684	12	1	a
4598	1987AEF2	0.9375	0.5696	30	1	a
4403	0E4D557D	0.8523	0.4373	26	3	b
4258	03A7C4CB	0.9063	0.7484	32	1	a
4682	171B4015	0.94	0.3208	34	4	b
4712	1833C4B1	0.9286	0.3041	78	3	b
4765	155C6AE7	0.9821	0.5759	19	2	a
4903	0FDCF650	0.9211	0.8917	22	1	a
4221	0F050707	0.7816	0.4574	107	3	b
4738	074782B9	0.9318	0.5754	28	2	a
4599	10B719FA	0.975	0.8667	13	1	a
4907	06C987DA	0.8289	0.4582	29	3	b
4613	16371D6A	0.9091	0.4651	37	4	b
4752	180E3626	0.9643	0.5118	21	2	a
4841	168334D6	0.9167	0.8603	26	2	a
4502	0A9B4C63	0.7692	0.4624	20	2	a
4974	0BEF7484	0.9706	0.5301	24	2	a
4451	118D6A3B	0.9333	0.5926	18	2	a
