FOLDER	AUTHORID	PRECISION	RECALL	F1
4953	18890E29	0.347	0.9483	0.5081
199	08F4DBAA	0.9009	0.9615	0.9302
3202	016F9637	0.2918	0.7926	0.4265
492	0E823258	0.2094	0.9074	0.3403
4607	0207C75C	0.8136	0.9231	0.8649
3293	15A25736	0.419	0.8462	0.5605
799	1996A237	0.2889	0.9891	0.4472
727	1814017F	0.1357	0.9205	0.2365
4379	186575C5	0.9014	0.9412	0.9209
3113	12D8D041	0.2321	0.9929	0.3762
1862	15BA3431	0.4215	0.8871	0.5714
97	15215A23	0.3981	0.43	0.4135
4366	0E7FCF47	0.1934	0.9778	0.3229
4239	12C0CA9F	0.0349	0.0526	0.042
2852	16751B89	0.8608	0.9444	0.9007
254	16DD24D9	0.3027	0.9405	0.458
960	18DFB9B9	0.9211	0.875	0.8974
3445	1616393B	0.3027	0.9024	0.4533
1882	05780F86	0.3766	0.9886	0.5455
